,horario,local,texto,relevancia,Sigla
84,2020-08-18 22:24:58,,"Do nada uma chuva em Maceió
Dps do nada um calor da peste",0,AL
85,2020-08-18 21:59:07,Maceió,"Chuva : a

Sky : não quero mais pegar",0,AL
86,2020-08-18 21:43:32,"Maceió, Brasil",Eita chuva da,1,AL
87,2020-08-18 21:39:31,Maceió,"CHUVA DA...

#SérieB #CRBxBRA 
#AvanteRegatas #VamosSubirGalo",1,AL
88,2020-08-18 21:38:57,"Maceió, Brasil",tô enxergando nada com essa chuva,1,AL
89,2020-08-18 20:58:53,"Maceió, Brasil",Sem pai e nem mãe na chuva. Realidade implacável.  Tem q contratar.,0,AL
90,2020-08-18 20:36:22,Maceió ,qnd tava chegando do pedal caiu uma chuva mto forte foi uma delícia,0,AL
91,2020-08-18 20:23:03,"Alagoas, Brasil",Ai o cara assiste um jogo da peste à tarde ai agora to assistindo um racha na chuva. Bora csa da peste ganha esse cranco,1,AL
92,2020-08-18 19:57:13,"Maceió, Brasil",esse carai já tá todo improvisado e agr cm essa chuva véi tmnc,1,AL
93,2020-08-18 19:55:09,"Maceió, Brasil","não já basta o time tá todo improvisado,ainda tem a merda dessa chuva pra ajudar😍😍",1,AL
94,2020-08-18 19:37:26,"Alagoas, Brasil","@portaljga @Joaoguiavila Chuva
#MPN #JoaoGuilherme #JoaoGuilhermeStyle #JoaoEJade #Enaldinho #LorenaQueiroz #BrunaMarquezineInspiracao #PablloVittar #Bambole",0,AL
95,2020-08-18 14:59:36,"Maceió, Brasil","eu odeio n ter condições de criar outro cachorro, me doi toda vez q chove",0,AL
96,2020-08-18 12:34:05,Alagoas🌵,Chuva de arroz??? https://t.co/3RhcvW0M4h,0,AL
97,2020-08-18 09:57:46,"Maceió, Brasil","@lenycatia @ThRod @correio Imagina 57mil pessoas percorrendo as ruas do Brasil inteiro entregando cartas e encomendas de casa em casa, na chuva ou no sol, com um peso enorme nas costas e risco constante de ser assaltado
Agora imagina essas pessoas tendo benefícios cortados e salários reduzidos e ainda +",0,AL
98,2020-08-18 09:43:29,"Alagoas, Brazil",a chuva da vitoria vai reinar no fim 🌈🌈🌈🌈🌈🌈🌈🌈,0,AL
99,2020-08-18 09:36:26,"Ibirama, Brasil","RT @tehlopess: @IrlanLopess Ainda colocou barulho de chuva na tv, adorei dormi assim. 🥰",0,AL
0,2020-08-22 20:48:03,"Manaus, Brasil ","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
1,2020-08-22 20:39:24,,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0,AM
2,2020-08-22 20:38:49,"Manaus, Brasil",@tiagotheworld Amo q ela levou chuva de unf mas a galera já voltou em dobro,0,AM
3,2020-08-22 20:03:03,"Manaus, Brasil",@dunburnt Pior que eu fui olhar agora e tá com mó pinta de chuva. Somos 2 iludidos,0,AM
4,2020-08-22 19:46:21,Manaus,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0,AM
5,2020-08-22 19:45:59,"Manaus, Brazil",Parece que vem uma chuva das grades e hoje mais do que nunca eu digo rain on me caralho,0,AM
6,2020-08-22 19:31:32,Manaus - AM,"“Chuva: Os Dez Cavaleiros” é obra de Caio Porfírio Carneiro. Conto. São Paulo, Editora Hucitec, 1977. O nosso abraço fraterno aos capixabas de Serra, Vila Velha, Guarapari, Colatina, Aracruz e Viana. Acervo do escritor Raimundo Colares Ribeiro.
#Literatura #Escritores #Livros https://t.co/0xmi61nulF",0,AM
7,2020-08-22 19:26:40,"Manaus, Brasil",@hebk___ o que tá acontecendo que tá uma chuva de filme da DC hoje????,0,AM
8,2020-08-22 19:26:28,Paris dos Trópicos,RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0,AM
9,2020-08-22 19:25:14,Manaus,"pensando seriamente e sair pra correr, mas fica nesse chove não chove é complicated",0,AM
10,2020-08-22 19:18:40,"Manaus, Amazonas","Os brasilienses agora estão mais tranquilos, depois de tanto tempo finalmente uma chuva pra agradar o clima. Demorou, mas finalmente chegou. #DF2",0,AM
11,2020-08-22 18:41:52, São Paulo - Brazil,"RT @portaldoholanda: Após expectativa pelo frio, Manaus amanhace com chuva neste sábado  https://t.co/CtVpBKXU7l https://t.co/NNDhlgI1dY",0,AM
12,2020-08-22 18:25:06,,"RT @guilboso: Sério mesmo, não tem como não amar esse bebê
Olha esses olhos, esse nariz
Esses cabelinhos, o jeitinho dele de segurar o guar…",0,AM
13,2020-08-22 18:02:03,Manaus-AM,"Frente fria traz chuva e transtornos à cidade do Rio de Janeiro https://t.co/NhKm6Z3Nf3
#D24AM #InteragindoComANotícia #Credibilidade #Compartilhe",1,AM
14,2020-08-22 18:02:02,"Manaus, Amazonas","Frente fria traz chuva e transtornos à cidade do Rio de Janeiro https://t.co/eapLMQNZmF
#D24AM #InteragindoComANotícia #Credibilidade #Compartilhe",0,AM
15,2020-08-22 17:38:29,MAO,ai namoral a pessoa tem que ter uma vida mto cheia de privilégios pra gostar de dias de mto frio e mta chuva,0,AM
16,2020-08-22 17:16:22,"Manaus, Brasil","uma vez eu pedi lanche e começou uma chuva forte pra caralho o motoqueiro chegou todo ensopado eu me senti uma pessoa HORRÍVEL, nunca mais https://t.co/XNe9FOZ01o",0,AM
17,2020-08-22 16:59:54,me dê um livro como presente,RT @roberlito_: @gabrielthomarx Virou pecado gostar de chuva desde o filme Parasita ;-;,0,AM
18,2020-08-22 16:33:33,"Manaus, Brasil",As pessoas com raiva do frio e da chuva só mostra o quanto liberal é uma raça patética.,0,AM
19,2020-08-22 16:31:40,"Manaus, Brasil",@gabrielthomarx Virou pecado gostar de chuva desde o filme Parasita ;-;,0,AM
20,2020-08-22 15:48:51,"Manaus, Brasil",Sei nem mais o que é chuva 😕 https://t.co/jrynwrOuxk,0,AM
21,2020-08-22 15:47:43,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
22,2020-08-22 15:23:09,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
23,2020-08-22 15:05:23,manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
24,2020-08-22 14:50:31,,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0,AM
25,2020-08-22 14:38:33,Manaus,sim. É só ninguém falar mais que gosta de frio ou chuva que nunca mais neva ou chove. é assim que funciona. tenha empatinha!!,0,AM
26,2020-08-22 14:34:41,Manaus/Am,"@MarcoPoli Cada região com seu clima, aq por exemplo, chove mais no ""verão amazônico"" do que no inverno... E a temperatura mais baixa q chega aq é 20°...",0,AM
27,2020-08-22 14:13:59,"Manaus, Brasil",eu sonhei com chuva ou realmente choveu?,0,AM
28,2020-08-22 14:07:58,,"RT @MichelePascoa: Mais de 12 anos morando em Manaus, pra sair na rua ""gritando"" de felicidade por causa de 24°c (sem chuva) hahahaha. Espe…",0,AM
29,2020-08-22 13:59:48,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
30,2020-08-22 13:51:09,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
31,2020-08-22 13:21:53,,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0,AM
32,2020-08-22 13:21:38,Brasil,RT @eimasoqehisso: POR FAVOR CHOVE COM GRANIZO NESSA PORRA PRA CAUR UMA PEDRA DE GELO NA MINHA CABEÇA E EU MORRER,1,AM
33,2020-08-22 13:09:34,"Manaus, Brasil",RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0,AM
34,2020-08-22 12:43:33,"Manaus, Brasil",quando chove em manaus https://t.co/iv3lHxrnSn,1,AM
35,2020-08-22 12:43:11,,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1,AM
36,2020-08-22 12:42:09,"Manaus, Brasil","@gaygoss Sim, vento em Manaus = Chuva

Mas hj é exceção",1,AM
37,2020-08-22 12:31:13,"Manaus, Brazil",@oadinho chuva de grillz,0,AM
38,2020-08-22 12:27:36,"Manaus, Brasil",@gotbusted_ querer chuva mas lembrar de Parasita,1,AM
39,2020-08-22 12:13:31,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
40,2020-08-22 12:05:39,Manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
41,2020-08-22 12:05:14,"Manaus, Brasil",@oklin___ Chuva mais Miguelenta que tu,1,AM
42,2020-08-22 12:04:30,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1,AM
43,2020-08-22 11:46:39,"Manaus, Brasil","é quente o ano todo, chega na época q é pra ser frio aí chove e sobe um vapor q só esquenta mais, aí quando faz frio um diazinho a pessoa ""pronto vcs tão feliz?""  SIM EU TO FELIZ SIM, EU TO PULANDO DE ALEGRIA, ABRAÇA O CAPETA ENTÃO SE GOSTA TANTO DE CALOR",1,AM
44,2020-08-22 11:46:01,"Belo Horizonte, Brasil","RT @MangabeiraSonia: Sol ou chuva?
LUCASVIANA  TE AMAMOS",0,AM
45,2020-08-22 11:45:58,"Manaus, Brazil","@feilenberger182 Aqui só faz frio quando chove umas 12h seguidas no inverno, ou quando rola o milagre de uma frente fria chegar aqui",0,AM
46,2020-08-22 11:44:18,"salvador/na, Brasil ","RT @MangabeiraSonia: Sol ou chuva?
LUCASVIANA  TE AMAMOS",1,AM
47,2020-08-22 11:41:10,"Manaus, Brasil","@_marigomess_ @najadorbd É frio não é meme não kkk, essa semana tava com sensação térmica de 40 º de repente da 22⁰ sem chuva é como se tivéssemos entrado numa realidade paralela do Frozen.",1,AM
48,2020-08-22 11:40:17,"Manaus, Brasil",@sinaurinha Também tu já viu chuva derrubar urubu?,1,AM
49,2020-08-22 11:33:36,"Manaus, Brasil",RT @eimasoqehisso: POR FAVOR CHOVE COM GRANIZO NESSA PORRA PRA CAUR UMA PEDRA DE GELO NA MINHA CABEÇA E EU MORRER,0,AM
50,2020-08-22 11:32:15,paraná//manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1,AM
51,2020-08-22 11:30:55,,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
52,2020-08-22 11:29:41,"Manaus, Brasil","O dia hj se definiu em suspense, chove ou não chove?",0,AM
53,2020-08-22 11:18:26,Manaus,"Hoje não chove nem com o caralho, como diz o manauara https://t.co/kFwry7kLcz",1,AM
54,2020-08-22 11:14:02,"Manaus, Amazonas",Quando deu aquela chuva com ventos de 80km por hora aqui e o andar acima da biblioteca do IFAM desabou e ainda caiu uma árvore gigante. Tudo ficou um caos em Manaus city https://t.co/PMyPP4nnJk,0,AM
55,2020-08-22 11:07:17,mao,RT @biancacamurcaa: fazendo tempo de chuva desde 18:30 em manaus e eu to só esse coment https://t.co/EKLrU0tcXZ,1,AM
56,2020-08-22 10:54:38,"Manaus, Brasil",@eumilena3m Mana o dia mais fresco sem chuva,1,AM
57,2020-08-22 10:52:07,"Manaus, Brasil","O sonho de todo manauara é um frio sem chuva, manaus sua linda obg nunca critiquei ❤️",0,AM
58,2020-08-22 10:48:14,Manaus,chove bem quando lavo o tênis e deixo ele secando lá fora,0,AM
59,2020-08-22 10:39:46,"Manaus, Amazonas","A gente tava sofrendo com calor de 40, caiu para 23 mas sempre tem um espirito ruim aqui falando: Ai mas nem tá frio, 23 é tranquilo. VASECATAR. 23 graus para gente q nem quando chove fica assim, é frio tá? Nos deixe usar casaco em paz. u.u",1,AM
60,2020-08-22 10:33:52,"Manaus, Brazil","Mais de 12 anos morando em Manaus, pra sair na rua ""gritando"" de felicidade por causa de 24°c (sem chuva) hahahaha. Espero que o dono da cidade (sol) não apareça meio dia pra acabar com a festa.
.
Que alegria! 😂",0,AM
61,2020-08-22 10:17:07,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
62,2020-08-22 10:16:59,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",1,AM
63,2020-08-22 10:10:01,,RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0,AM
64,2020-08-22 09:59:00,"Manaus, Brazil",esperando o neymar jogar de novo pra chuva cair 🙏🏽,0,AM
65,2020-08-22 09:52:19,Manaus - AM,"Os humilhados foram exaltados e a frente fria chegou em Manaus ou é vento de chuva? 

Toda hora eu acho que é vendo de chuva",1,AM
66,2020-08-22 09:15:12,"Manaus, Brasil",POR FAVOR CHOVE COM GRANIZO NESSA PORRA PRA CAUR UMA PEDRA DE GELO NA MINHA CABEÇA E EU MORRER,1,AM
67,2020-08-22 09:14:13,"Manaus, Brasil","RT @ttdaandriia: chove logo crlh, deixa de fuleragem 
Odeio suspense.",0,AM
68,2020-08-22 09:09:36,"Manaus, Brasil","Ainda tá fresquinho, mas acho que vem chuva https://t.co/zKK35RTAqH",1,AM
69,2020-08-22 09:09:10,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
70,2020-08-22 09:05:52,"Manaus, Brasil",Tá frio 24⁰ em Manaus sem chuva 😲.,0,AM
71,2020-08-22 08:52:41,Manaus - Amazonas,"Após expectativa pelo frio, Manaus amanhace com chuva neste sábado  https://t.co/CtVpBKXU7l https://t.co/NNDhlgI1dY",0,AM
72,2020-08-22 08:44:56,"Manaus, Brasil",@freitas_f4 @portaldoholanda Mas o frio aqui é chuva dear,0,AM
73,2020-08-22 08:43:29,Manaus/AM,"@JefersonCoronel Mano, então a única estação climáticas e o verão mesmo. Nunca venta na minha cidade a não ser que seja prenúncio de chuva. 🤣",0,AM
74,2020-08-22 08:40:07,"Manaus, Brasil","Toda vez que a chuva cair, pense em mim",0,AM
75,2020-08-22 08:36:00,"Manaus, Brazil","po, não é por nd não MAS Q FRIO DO CARALHO, tmnc, 20° morrendo, e nem tá com cara de chuva, oq tá pegando com manaus vei",0,AM
76,2020-08-22 08:32:59,"Manaus, Brasil","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
77,2020-08-22 08:18:35,"Manaus, Brasil",RT @biancacamurcaa: fazendo tempo de chuva desde 18:30 em manaus e eu to só esse coment https://t.co/EKLrU0tcXZ,0,AM
78,2020-08-22 08:14:23,"Manaus, Brasil","@Linnda_Menezes Aqui no meu só tá frio msm,tá ótimo sem chuva",0,AM
79,2020-08-22 08:11:22,"Manaus, Brasil",fiquei tão emocionada com a chuva que até acordei pra presenciar esse evento,0,AM
80,2020-08-22 08:08:08,"Manaus, Amazonas, Brasil",Parasita acabou com a minha animação quando vejo chuva. Não consigo mais curtir do mesmo jeito.,0,AM
81,2020-08-22 07:56:55,"Gama, Brasília","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
82,2020-08-22 07:41:45,"Manaus, Brasil","@vivasarafa Tu ia amar Manaus Rafita, é quente até quando chove, caí uns pedaços de fogo. E da hora",0,AM
83,2020-08-22 07:39:46,"Manaus, Brasil",então quer dizer que a frente fria era essa chuva de 5 minutos?,0,AM
84,2020-08-22 07:37:04,Manaus,Vento frio a noite toda e 0 chuvas? I'll take it,0,AM
85,2020-08-22 07:36:29,Comunidade Bahá'í de Manaus,"RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0,AM
86,2020-08-22 07:34:24,"Manaus, Brasil","Aí Manaus a friagem da gente chegou as 6:32 depois de uma chuva fazendo 23°, beleza?",1,AM
87,2020-08-22 07:33:54,Manaus,"Amanheceu frio e com o tempo fechado. Senhor, se for chuva o teu filho está pronto! 😂",1,AM
88,2020-08-22 07:29:36,,"RT @ttdadreza: 24° e chuva, era pra eu estar na minha cama krl",1,AM
89,2020-08-22 07:27:50,hell,"24° e chuva, era pra eu estar na minha cama krl",0,AM
90,2020-08-22 07:27:50,"Manaus, Brasil",Chuva!,0,AM
91,2020-08-22 07:25:33,Manaus,"Que misérinha de chuva foi essa Manaus ? 
💧💧💧
Enfim, a hipocrisia...",1,AM
92,2020-08-22 07:23:32,"Rio Grande do Sul, Brazil",RT @12hr50: toda castigo pra corno é pocuo msm n tem castigo pior do que acordar cedo no sábado com barulho de chuva porra 😩,1,AM
93,2020-08-22 07:23:26,"Manaus, Brasil",toda castigo pra corno é pocuo msm n tem castigo pior do que acordar cedo no sábado com barulho de chuva porra 😩,1,AM
94,2020-08-22 07:22:07,manaus ,MUITA chuva,0,AM
95,2020-08-22 07:19:54,"Manaus, Brasil",Chuva de manhãzinha,0,AM
96,2020-08-22 07:16:20,"Manaus, Brasil",Planejei a semana toda que faria uma foto hoje numa parede que bate a luz do sol bem bonita e o dia me amanhece com chuva 😤😤😤,0,AM
97,2020-08-22 07:15:25,Manaus,A chuva manoooo até quefim,0,AM
98,2020-08-22 07:02:12,"Manaus, Brasil","Bom dia, finalmente Manaus não acordou com o bafo do satanas no cangote. Clima de chuva pa nós",0,AM
99,2020-08-22 07:00:00,"Manaus, Brasil",RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0,AM
0,2020-08-21 20:57:24,salvador bahia,"@LuciaLo20914588 🤣🤣🤣 vdd!
Morei em Belém, chove e não muda nada! Calor da desgraça mesmo!",0,BA
1,2020-08-21 20:50:01,"Salvador, Brasil","Que conversa é essa que vcs querem neve aqui em salvador? Se quando chove a rua fica uma imundície, imagine a neve junto com a lama... tranca o cu, deixe de Maluquice",0,BA
2,2020-08-21 20:34:33,Salvador,Toda vez que chove eu oro pedindo a Deus que proteja as pessoas em situação de rua consigam encarar esse momento difícil https://t.co/gV4ZELfhlL,0,BA
3,2020-08-21 20:19:56,João Pessoa/PB,RT @jrmutti: @MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca v…,0,BA
4,2020-08-21 20:04:13,,"RT @MarcilioJuniior: Sexta feira, frio do caralho, chuva e eu no terreiro... A vida do candomblecista é uma luta viu",0,BA
5,2020-08-21 19:56:09,"Salvador, Brasil","Sexta feira, frio do caralho, chuva e eu no terreiro... A vida do candomblecista é uma luta viu",0,BA
6,2020-08-21 19:38:14,"Bahia, Brasil",Hj foi horrível trabalhar nessa chuva,0,BA
7,2020-08-21 19:17:24,"Salvador, Brasil ",Só queria poder lavar meu cabelo pra me sentir biito e não a água suja do córrego depois de uma chuva que os dejetos tamparam as bocas de lobo,0,BA
8,2020-08-21 18:35:46,"Salvador, Brasil","@mina_boba_ @mile_bs Sim, penso nisso demais! Um exemplo aqui de Salvador, quando chove as vulnerabilidades da cidade se acentuam né? encosta, enchentes e casas desabando... eu agradeço pela chuva e peço por quem precisa, e ajudo no que posso...",0,BA
9,2020-08-21 18:14:47,"Salvador, Bahia","#StockCar2020 #StockCar #Interlagos #CesarRamos 

https://t.co/hhcjPJyt23",0,BA
10,2020-08-21 18:11:47,Salvador - BA,Netflix cancelou The Society que inferno!!! A série tinha um potencial imenso e muito melhor q a da Academia do Guarda Chuva,0,BA
11,2020-08-21 18:09:24,"Salvador, Brasil",RT @jrmutti: @MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca v…,0,BA
12,2020-08-21 17:57:03,,RT @jrmutti: @MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca v…,0,BA
13,2020-08-21 17:53:38,Salvador - Brasil,@MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca vi chuva em FOR. A última foi no glorioso 2x1 de virada que assisti no Castelão lotado. https://t.co/xohmF2SrpG,1,BA
14,2020-08-21 17:35:16,"Salvador, Brasil","@kapriniss A galera do nordeste na aguenta frio. Kkkkk deixa assim. 19° de temperatura e a sensação é de -10° c kkkkkkkkkk. Deixa o nosso sol, chuva no necessário e o friozinho discarado kkkk",0,BA
15,2020-08-21 16:58:14,"Salvador, Brasil","@shipposanvers Vlh, quando eu vou no interior em época de chuva e frio eu já uso meia, imagina aí em SP HSUSHSHS",0,BA
16,2020-08-21 16:28:21,"Calor, Quintura & Mormaço","RT @imdbraz: Olhem para o céu durante todo o dia 23, teremos uma chuva de estrelas cadentes!! Aiaiai, acho que uma delas vai cair bem na mi…",0,BA
17,2020-08-21 16:24:35,"Salvador, Brasil","Do nada, chuva em Salvador",0,BA
18,2020-08-21 16:12:03,"Salvador, Brasil","@RodrigoMaia Não fez nada mais que sua obrigação que, aliás, você não está acostumado a fazer, não é mesmo?! 

Se está esperando algum elogio, melhor tirar a cavalaria inteira da chuva.",0,BA
19,2020-08-21 16:04:37,Brasil,"RT @imdbraz: Olhem para o céu durante todo o dia 23, teremos uma chuva de estrelas cadentes!! Aiaiai, acho que uma delas vai cair bem na mi…",0,BA
20,2020-08-21 16:00:52,"Salvador, Bahia","Olhem para o céu durante todo o dia 23, teremos uma chuva de estrelas cadentes!! Aiaiai, acho que uma delas vai cair bem na minha cabeça!!☄️🌌🤔",0,BA
21,2020-08-21 15:58:33,"Salvador, Brasil",tá rolando chuva de contratação dos meu colegas do curso ❤️ graças a Deus https://t.co/6HFvmAO8sF,0,BA
22,2020-08-21 15:18:59,"Não-Me-Toque, Brasil",@Carollopesduart Trabalhando como entregador de bike e AMO FRIO E CHUVA 💖,0,BA
23,2020-08-21 15:08:39,Bahia ,Aqui nunca teve nem sinal de chuva.. veja lá neve https://t.co/WY8p4BzxDz,0,BA
24,2020-08-21 15:04:49,"Salvador, Brasil",@gabriellacgomes a gente paga internet pra passar cada inveja (branca)... vai que chove vai dizer que foi eu.. :P,0,BA
25,2020-08-21 14:50:54,"Eunápolis, Brasil","RT @Yasyasmin_: chuva: a
frio: b
eu: A mimir😴😴😴😴😴",0,BA
26,2020-08-21 14:50:26,,"RT @Yasyasmin_: chuva: a
frio: b
eu: A mimir😴😴😴😴😴",0,BA
27,2020-08-21 14:46:55,"Salvador, Brasil",@Liamolotov A gente não tem estrutura pra chuva que dirás neve,0,BA
28,2020-08-21 14:41:06,bahia,"chuva: a
frio: b
eu: A mimir😴😴😴😴😴",0,BA
29,2020-08-21 14:34:48,,@lmjfox Inclusive saudades da chuva e do frio já.,0,BA
30,2020-08-21 14:09:27,"Salvador, Brasil",E a melhor dica é uma chuva dourada pq aí vai ser obrigado a trocar,0,BA
31,2020-08-21 13:51:48,"Salvador, Brasil",Baba na Chuva ☔ é Infância Raiz sem Criminalidade 🥰Que Saudade https://t.co/i96mLV2oq2,0,BA
32,2020-08-21 12:34:51,"Salvador, Brasil","@Liamolotov Minha filha kkkkkkk odeio calor e outra, esse inverno tá podre, nem chover chove",1,BA
33,2020-08-21 12:14:55,"Bahia, Brasil","@alexaandre_d já mando, ela é simples, tem a imagem do guarda chuva e a trompa azul com o ""legen- wait for it- dary""",0,BA
34,2020-08-21 12:11:34,"Bahia, Brasil",@g1 Chuva congelada 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,1,BA
35,2020-08-21 12:02:29,"Salvador, BA","o dia seguinte de atualização do sistema é sempre a mesma coisa

chove procurador me ligando",1,BA
36,2020-08-21 11:47:18,"Salvador, Brasil","a gente carrega o céu no peito
por isso de vez em quando a gente chove.",1,BA
37,2020-08-21 11:12:27,"Bahia, Brasil",@madumd1 Por isso a chuva,0,BA
38,2020-08-21 11:02:34,"Salvador, Brasil",@dragtommo Achei o filme um cu cagando na chuva amg mas as pessoas gostam do livro vou tentar ler dps,1,BA
39,2020-08-21 10:55:00,Salvador - BA - Brazil,"@vieneinpace Depende da região, aqui no Nordeste piso frio é extremamente comum pq não tem inverno, só verão com chuva e verão sem chuva",0,BA
40,2020-08-21 10:10:07,"Salvador,Bahia","@Sapalizei E ah!
Salvador é extremamente bipolar, ao mesmo tempo que cai o mundo e chove de horror, abre o sol de rachar lkkkkkkk",0,BA
41,2020-08-21 10:08:59,"Salvador,Bahia","@Sapalizei Oh, Salvador é da seguinte forma:
Dezembro até março: inferno 
Março até setembro: subimos um pouco do inferno e encontramos chuva e um pouco de temperatura amena 
Setembro até dezembro: Pré inferno",1,BA
42,2020-08-21 10:04:40,"Bahia, Brasil",A CHUVA CAI A RUA INUNDA,1,BA
43,2020-08-21 09:55:29,Salvador,@carolvvilela1 Já existe! Capa de chuva descartável! 😂,1,BA
44,2020-08-21 09:42:04,"Salvador, Bahia, Brasil","@mari_kel Aqui em Salvador, está nublado nada de chuva!",0,BA
45,2020-08-21 09:39:04,"Bahia, Brasil","@KelinhaAssis Bom diaaaa... Tô em SP, chuva e frio...
Mas já já volto pro calor da Bahia!! 😊",0,BA
46,2020-08-21 09:05:12,Salvador - Bahia - Brasil ,"Especialistas dizem a princípio que residentes ao longo da Costa do Golfo, do norte do #México até a Flórida, devem ficar atentos a chuvas torrenciais. Quanto aos furacões, estamos em 2020, então, tudo pode acontecer.https://t.co/DlWQjFXnOd",1,BA
47,2020-08-21 08:46:07,"Salvador, Brasil","Vizinhos pq vcs odeiam a Pri atoa? Sempre gostei dela. Não achei o motivo pra esse ódio todo, essa chuva de indiretas, enfim... Alguém me explica?",1,BA
48,2020-08-21 08:32:44,"Salvador, Brasil",eu queria o guarda chuva :(((( https://t.co/ZRa33EWeJa,1,BA
49,2020-08-21 03:12:20,BAHIA,"@RaickTavares ""Embora a chuva me remeta tristeza e pensamentos voltado ao passado.
Existe uma beleza fria nela, um tom acinzentado que transforma a luz em sombra.
Uma sombra com gotas de esperança. ""
Mall Salvatore.",0,BA
50,2020-08-21 02:57:55,Salvador/BA,Neve comendo no centro no Sivis e em Salvador só rola calor com sol e calor com chuva o ano todo,1,BA
51,2020-08-21 02:42:16,"Salvador, Brasil",O quarto tá começando a ficar quente q já tá até me dando saudade dos dias de chuva,0,BA
52,2020-08-21 02:24:37,Bahia/Brasil,#espaço #astrofísica: Chuva de meteoritos cai no sertão de Pernambuco e ... https://t.co/3dH9nB2ceL https://t.co/JBXaHg3C4e,0,BA
53,2020-08-21 01:01:46,Salvador - Bahia,"@fefezinhaww DEURMILIVRE
eu já tô morrendo com esse frio , chuva e vento, tu quer me matar, garota? kkkkkk",1,BA
54,2020-08-21 00:48:04,"Salvador, Brasil",@chellzinTarj4 ta chuvendo muito ai no pais que vc ta ?,0,BA
55,2020-08-21 00:30:24,"Salvador, Brasil","@bryan97s sdds centro-oeste.

2016 fui fazer concurso em BSB e os 4 dias que fiquei dormi tão bem por causa da chuva e do friozinho...",1,BA
56,2020-08-21 00:19:58,,@leninfranco @FPADomingues @ECBahia Bem a cara dela essa chuva de protocolos 😑,1,BA
57,2020-08-21 00:15:16,"Salvador, Brasil",Night de guloseimas + netflix + chuva = 🤎,0,BA
58,2020-08-20 23:35:19,"Salvador, Brasil",ouvindo quando a chuva passar e lembrando do dia que a parte boa da turma tava cantando várias musiquinhas e cleide entrou na sala bem na hora e amou,0,BA
